model,dataset,metric,value
bnn,train,log_loss,0.04418361981544639
bnn,train,brier,0.011789202923855123
bnn,train,f1,0.9573822959656363
bnn,train,precision,0.9747041673812382
bnn,train,recall,0.9406653426017875
bnn,train,ece,0.004398220264741427
bnn,val,log_loss,0.0388645957822386
bnn,val,brier,0.011263022165931327
bnn,val,f1,0.9611111111111111
bnn,val,precision,0.9611111111111111
bnn,val,recall,0.9611111111111111
bnn,val,ece,0.010443998925387858
bnn,test,log_loss,0.04399824942868303
bnn,test,brier,0.01177846063093984
bnn,test,f1,0.9575420847499793
bnn,test,precision,0.9741015690906023
bnn,test,recall,0.9415362035225049
bnn,test,ece,0.004247990302789495
nn,train,log_loss,0.09604704508529376
nn,train,brier,0.026934978137579214
nn,train,f1,0.8774471596900646
nn,train,precision,0.9837565539220726
nn,train,recall,0.7918735518040384
nn,train,ece,0.010970035666683168
nn,val,log_loss,0.08441514181739546
nn,val,brier,0.024584481680326207
nn,val,f1,0.896969696969697
nn,val,precision,0.9866666666666667
nn,val,recall,0.8222222222222222
nn,val,ece,0.01169022711273283
nn,test,log_loss,0.09587664924553335
nn,test,brier,0.026900545689150193
nn,test,f1,0.8777381328756605
nn,test,precision,0.9838007492153488
nn,test,recall,0.7923189823874756
nn,test,ece,0.010915149488287932
calibrated_nn,train,log_loss,0.09164290355350689
calibrated_nn,train,brier,0.025874761635945848
calibrated_nn,train,f1,0.8922944468359879
calibrated_nn,train,precision,0.9298403014534362
calibrated_nn,train,recall,0.8576630254882489
calibrated_nn,train,ece,0.007547208405830645
calibrated_nn,val,log_loss,0.08355987826004538
calibrated_nn,val,brier,0.024587652669660818
calibrated_nn,val,f1,0.8944444444444445
calibrated_nn,val,precision,0.8944444444444445
calibrated_nn,val,recall,0.8944444444444445
calibrated_nn,val,ece,0.01107820178102702
calibrated_nn,test,log_loss,0.09152449546537036
calibrated_nn,test,brier,0.025855906885560852
calibrated_nn,test,f1,0.8923272573124205
calibrated_nn,test,precision,0.9292777679675084
calibrated_nn,test,recall,0.8582028701891715
calibrated_nn,test,ece,0.007541302625533218
gb,train,log_loss,0.021630027254482702
gb,train,brier,0.005487075715986336
gb,train,f1,0.9809416572834564
gb,train,precision,0.9887347625052543
gb,train,recall,0.9732704402515723
gb,train,ece,0.006577799202389715
gb,val,log_loss,0.030402626799296815
gb,val,brier,0.008653185168079364
gb,val,f1,0.9661016949152542
gb,val,precision,0.9827586206896551
gb,val,recall,0.95
gb,val,ece,0.00744212966449884
gb,test,log_loss,0.021758537150545258
gb,test,brier,0.005533456084146612
gb,test,f1,0.9807257633666214
gb,test,precision,0.9886486038611318
gb,test,recall,0.9729288975864319
gb,test,ece,0.006508090848731605
calibrated_gb,train,log_loss,0.02003308849618052
calibrated_gb,train,brier,0.005290044050500936
calibrated_gb,train,f1,0.9812544162267759
calibrated_gb,train,precision,0.9857202505219207
calibrated_gb,train,recall,0.9768288646143661
calibrated_gb,train,ece,0.005808120639864193
calibrated_gb,val,log_loss,0.02974591564334104
calibrated_gb,val,brier,0.00828679076464302
calibrated_gb,val,f1,0.9747899159663865
calibrated_gb,val,precision,0.9830508474576272
calibrated_gb,val,recall,0.9666666666666667
calibrated_gb,val,ece,0.006467400107453082
calibrated_gb,test,log_loss,0.02017537179553539
calibrated_gb,test,brier,0.005333943422265586
calibrated_gb,test,f1,0.9811598951507209
calibrated_gb,test,precision,0.9856813693219223
calibrated_gb,test,recall,0.9766797129810828
calibrated_gb,test,ece,0.0058063832700341175
